epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,672.869,0.79502,1.3093,0.66556,0.95205,0.76715,0.71092,0.78219,0.54158,0.76654,0.71441,0.79709,0.51403,1.07386,2.03916,0.95385,1.23878,0.0007715,0.0007715,0.0007715
31,722.764,0.76136,1.20346,0.60193,0.95576,0.76723,0.69949,0.80816,0.55868,0.82415,0.6553,0.79889,0.51957,1.0344,1.98944,0.98492,1.21766,0.000755,0.000755,0.000755
32,741.708,0.79152,1.208,0.58754,0.93898,0.83159,0.63842,0.78762,0.52736,0.76724,0.68914,0.78271,0.50043,1.06355,2.05886,0.97363,1.19617,0.0007385,0.0007385,0.0007385
33,755.716,0.74701,1.19844,0.55451,0.91799,0.75433,0.70329,0.78962,0.5395,0.76619,0.71556,0.79239,0.53487,1.06551,1.92304,0.88486,1.19599,0.000722,0.000722,0.000722
34,769.936,0.75703,1.17901,0.54936,0.93562,0.7044,0.79044,0.81019,0.54804,0.71354,0.79403,0.80814,0.53804,1.0624,1.87374,0.87669,1.20071,0.0007055,0.0007055,0.0007055
35,794.409,0.79354,1.22595,0.57899,0.93146,0.81011,0.69292,0.8103,0.53499,0.7156,0.77309,0.81549,0.51294,1.1234,1.99124,0.84892,1.22456,0.000689,0.000689,0.000689
36,812.582,0.76489,1.18607,0.57299,0.92872,0.85964,0.68472,0.82513,0.56939,0.78251,0.74858,0.8219,0.55318,1.0226,1.96488,0.81683,1.18106,0.0006725,0.0006725,0.0006725
37,847.749,0.79116,1.14603,0.52318,0.95052,0.79302,0.72981,0.82471,0.578,0.77607,0.76592,0.83328,0.5646,1.0215,1.9902,0.80335,1.18529,0.000656,0.000656,0.000656
38,896.672,0.73135,1.11798,0.56795,0.89424,0.79692,0.72639,0.81157,0.57765,0.79236,0.72705,0.80734,0.52846,1.02957,2.02671,0.77416,1.18465,0.0006395,0.0006395,0.0006395
39,910.717,0.76362,1.31368,0.62299,0.93202,0.72737,0.73309,0.80006,0.57755,0.73356,0.74142,0.8081,0.53081,1.00664,1.87585,0.83833,1.16221,0.000623,0.000623,0.000623
40,934.079,0.76332,1.17568,0.54614,0.91908,0.69837,0.69875,0.71634,0.51784,0.71809,0.69366,0.72293,0.48512,0.97215,1.77758,1.08188,1.12488,0.0006065,0.0006065,0.0006065
41,948.977,0.71198,1.06879,0.51635,0.90262,0.74798,0.71113,0.76863,0.55492,0.75393,0.7253,0.77504,0.50692,0.98567,1.85593,0.99786,1.13452,0.00059,0.00059,0.00059
42,963.297,0.73616,1.16116,0.56549,0.91215,0.80598,0.77785,0.85042,0.61238,0.82535,0.78477,0.85607,0.56332,0.98168,1.87179,0.81906,1.14491,0.0005735,0.0005735,0.0005735
43,1013.98,0.72072,1.12663,0.51733,0.88969,0.81061,0.73098,0.8249,0.59506,0.82105,0.73822,0.83064,0.5436,0.99191,1.86743,0.85185,1.15724,0.000557,0.000557,0.000557
44,1028.35,0.72253,1.09152,0.53005,0.90615,0.83187,0.73537,0.83276,0.60317,0.85965,0.7588,0.83969,0.55172,1.01183,1.82498,0.70683,1.18108,0.0005405,0.0005405,0.0005405
45,1040.54,0.68779,1.09506,0.50976,0.9119,0.82777,0.73551,0.82402,0.58974,0.85734,0.7602,0.83732,0.54755,1.00439,1.83701,0.72944,1.17203,0.000524,0.000524,0.000524
46,1056.56,0.6621,1.02638,0.50604,0.89761,0.79941,0.73773,0.82184,0.59515,0.81889,0.75593,0.83408,0.54521,0.98312,1.874,0.7549,1.17493,0.0005075,0.0005075,0.0005075
47,1070.19,0.64723,1.01001,0.54425,0.88039,0.71359,0.77323,0.80098,0.58048,0.77071,0.74972,0.81589,0.52523,0.99375,1.9211,0.7998,1.1871,0.000491,0.000491,0.000491
48,1108.28,0.65484,1.04815,0.45706,0.8926,0.80107,0.69329,0.80168,0.58461,0.82993,0.71846,0.82326,0.53148,1.00721,1.95971,0.74255,1.1873,0.0004745,0.0004745,0.0004745
49,1127.57,0.63739,0.99598,0.4631,0.87203,0.76413,0.74908,0.81106,0.58756,0.82157,0.72576,0.82366,0.53194,1.02459,1.98906,0.72818,1.21153,0.000458,0.000458,0.000458
50,1146.96,0.60503,0.96122,0.43094,0.88824,0.75845,0.79005,0.82438,0.59732,0.75029,0.78394,0.81879,0.54456,1.01313,2.02196,0.71822,1.21199,0.0004415,0.0004415,0.0004415
51,1161.18,0.62331,0.94965,0.43271,0.86887,0.80439,0.74122,0.82781,0.59571,0.81316,0.75084,0.83181,0.55371,1.03827,1.97717,0.72309,1.21649,0.000425,0.000425,0.000425
52,1177.07,0.63974,1.03019,0.45524,0.88912,0.83625,0.68619,0.82273,0.59263,0.82954,0.6865,0.8079,0.54131,0.99781,1.88743,0.74389,1.16594,0.0004085,0.0004085,0.0004085
53,1226.88,0.66172,0.97672,0.47087,0.89279,0.83349,0.70529,0.82537,0.59469,0.82916,0.70909,0.81401,0.53688,1.00529,1.83126,0.72983,1.16282,0.000392,0.000392,0.000392
